antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Digital Marketing'}),frozenset({'Brand Strategy'}),0.4013605442176871,0.46258503401360546,0.20408163265306123,0.5084745762711864,1.0992023928215353,1.0,0.01841825165440325,1.0933614825240439,0.1507575757575757,0.3092783505154639,0.0853894014160051,0.47482552342971085
frozenset({'Brand Strategy'}),frozenset({'Digital Marketing'}),0.46258503401360546,0.4013605442176871,0.20408163265306123,0.4411764705882353,1.0992023928215353,1.0,0.01841825165440325,1.07124955245256,0.16793248945147676,0.3092783505154639,0.06651069518716575,0.47482552342971085
frozenset({'Financial Planning'}),frozenset({'Brand Strategy'}),0.40816326530612246,0.46258503401360546,0.19727891156462585,0.48333333333333334,1.0448529411764707,1.0,0.008468693599888916,1.0401579986833442,0.07253269916765738,0.2929292929292929,0.038607594936708844,0.4549019607843137
frozenset({'Brand Strategy'}),frozenset({'Financial Planning'}),0.46258503401360546,0.40816326530612246,0.19727891156462585,0.4264705882352941,1.0448529411764704,1.0,0.008468693599888916,1.031920460491889,0.07987778262767334,0.2929292929292929,0.0309330628803245,0.4549019607843137
frozenset({'HR System Setup'}),frozenset({'Brand Strategy'}),0.4217687074829932,0.46258503401360546,0.2108843537414966,0.5,1.0808823529411764,1.0,0.015780461844601773,1.074829931972789,0.12941176470588225,0.3131313131313131,0.06962025316455694,0.4779411764705882
frozenset({'Brand Strategy'}),frozenset({'HR System Setup'}),0.46258503401360546,0.4217687074829932,0.2108843537414966,0.45588235294117646,1.0808823529411764,1.0,0.015780461844601773,1.062695348409634,0.13924050632911383,0.3131313131313131,0.05899653979238749,0.4779411764705882
frozenset({'Market Research'}),frozenset({'Brand Strategy'}),0.4557823129251701,0.46258503401360546,0.20408163265306123,0.44776119402985076,0.9679543459174714,1.0,-0.006756444074228346,0.9731568302996872,-0.05734485467399856,0.2857142857142857,-0.027583600982429624,0.444468832309043
frozenset({'Brand Strategy'}),frozenset({'Market Research'}),0.46258503401360546,0.4557823129251701,0.20408163265306123,0.4411764705882353,0.9679543459174714,1.0,-0.006756444074228346,0.9738632295023271,-0.05802861685214639,0.2857142857142857,-0.026838235294117687,0.444468832309043
frozenset({'Operations Improvement'}),frozenset({'Brand Strategy'}),0.35374149659863946,0.46258503401360546,0.14965986394557823,0.4230769230769231,0.9145927601809954,1.0,-0.013975658290527104,0.9315192743764172,-0.12625418060200677,0.22448979591836732,-0.07351509250243432,0.3733031674208145
frozenset({'Brand Strategy'}),frozenset({'Operations Improvement'}),0.46258503401360546,0.35374149659863946,0.14965986394557823,0.3235294117647059,0.9145927601809956,1.0,-0.013975658290527104,0.9553386572020113,-0.1480392156862746,0.22448979591836732,-0.04674922600619193,0.3733031674208145
frozenset({'Digital Marketing'}),frozenset({'Financial Planning'}),0.4013605442176871,0.40816326530612246,0.17687074829931973,0.4406779661016949,1.0796610169491525,1.0,0.013050118006386224,1.0581323438466295,0.12325174825174821,0.27956989247311825,0.054938632378725864,0.4370056497175141
frozenset({'Financial Planning'}),frozenset({'Digital Marketing'}),0.40816326530612246,0.4013605442176871,0.17687074829931973,0.43333333333333335,1.0796610169491525,1.0,0.013050118006386224,1.056422569027611,0.12466843501326257,0.27956989247311825,0.053409090909090934,0.4370056497175141
frozenset({'Digital Marketing'}),frozenset({'HR System Setup'}),0.4013605442176871,0.4217687074829932,0.16326530612244897,0.4067796610169491,0.9644614543466374,1.0,-0.006016011846915664,0.9747327502429544,-0.057983942908118,0.2474226804123711,-0.025922233300099795,0.3969382176052487
frozenset({'HR System Setup'}),frozenset({'Digital Marketing'}),0.4217687074829932,0.4013605442176871,0.16326530612244897,0.3870967741935483,0.9644614543466373,1.0,-0.006016011846915664,0.9767275331185103,-0.059907834101382756,0.2474226804123711,-0.023826979472140877,0.3969382176052487
frozenset({'Digital Marketing'}),frozenset({'Market Research'}),0.4013605442176871,0.4557823129251701,0.16326530612244897,0.4067796610169491,0.8924867189476346,1.0,-0.019667731037993436,0.9173955296404276,-0.16752069373275527,0.23529411764705876,-0.09004237288135601,0.38249430812041485
frozenset({'Market Research'}),frozenset({'Digital Marketing'}),0.4557823129251701,0.4013605442176871,0.16326530612244897,0.3582089552238806,0.8924867189476346,1.0,-0.019667731037993436,0.9327638031956967,-0.18123667377398725,0.23529411764705876,-0.0720827679782904,0.38249430812041485
frozenset({'Digital Marketing'}),frozenset({'Operations Improvement'}),0.4013605442176871,0.35374149659863946,0.1564625850340136,0.3898305084745763,1.102020860495437,1.0,0.01448470544680458,1.0591458805744522,0.15464426877470364,0.26136363636363635,0.05584299732381803,0.4160691003911343
frozenset({'Operations Improvement'}),frozenset({'Digital Marketing'}),0.35374149659863946,0.4013605442176871,0.1564625850340136,0.44230769230769235,1.102020860495437,1.0,0.01448470544680458,1.0734224724372508,0.1432494279176202,0.26136363636363635,0.06840034965034972,0.4160691003911343
frozenset({'Financial Planning'}),frozenset({'HR System Setup'}),0.40816326530612246,0.4217687074829932,0.17006802721088435,0.41666666666666663,0.9879032258064515,1.0,-0.002082465639316966,0.9912536443148687,-0.02027027027027041,0.25773195876288657,-0.008823529411764812,0.40994623655913975
frozenset({'HR System Setup'}),frozenset({'Financial Planning'}),0.4217687074829932,0.40816326530612246,0.17006802721088435,0.4032258064516129,0.9879032258064515,1.0,-0.002082465639316966,0.9917264202978489,-0.02073732718894024,0.25773195876288657,-0.008342602892102393,0.40994623655913975
